team_id_master,team_name,club_name,age_group,gender,notes
ff8806f0-5989-49f8-8acd-cd0f9b2790ca,ECNL RL B08/07,LA Krewe Rush,u18,Male,Club not found in database or club has no state_code
0b1b243f-e114-4952-b8ea-d2c63c2cf22a,ECNL RL B08/07,Hattiesburg FC,u18,Male,Club not found in database or club has no state_code
2a24aeed-c75d-4e9c-b6c6-c571d8e1cb21,ECNL RL B10,Hattiesburg FC,u16,Male,Club not found in database or club has no state_code
792435a8-cf5a-4fa7-a38f-7b18ad652be4,ECNL RL B13,Coastal Rush,u13,Male,Club not found in database or club has no state_code
d24164d2-84b7-45bf-ae9c-0c34ccc0bd9f,Arizona Arsenal ECNL RL B08/07,AZ Arsenal,u18,Male,Club not found in database or club has no state_code
ce4b5237-3f6a-4ff4-b4b2-f36490d3f9a8,El Paso Locomotive ECNL RL B08/07,El Paso Locomotive Youth Soccer Club,u18,Male,Club not found in database or club has no state_code
3e91a6b5-914a-439f-8188-e8e98dd2bbce,El Paso Locomotive ECNL RL B09,El Paso Locomotive Youth Soccer Club,u17,Male,Club not found in database or club has no state_code
221e8244-d710-428d-ae49-637f2025bb64,ECNL RL B09,Hattiesburg FC,u17,Male,Club not found in database or club has no state_code
a73e7b71-4edf-4119-85f0-0588438b8554,ECNL RL B12,Coastal Rush,u14,Male,Club not found in database or club has no state_code
66b16b07-7a39-4635-b0ba-72ff2f6a82e6,MSC Lakers ECNL RL B13,Mandeville Soccer Club,u13,Male,Club not found in database or club has no state_code
3dd3d617-0b75-42d5-8c0a-d76111129843,ECNL RL B09,Sporting Iowa,u17,Male,Club not found in database or club has no state_code
62cacac3-82cf-4612-b7d9-b60d28dd6615,United ECNL RL B08/07,Mississippi Rush,u18,Male,Club not found in database or club has no state_code
1c54be57-63e6-4396-bc04-5230749f42b3,United ECNL RL B13,Mississippi Rush,u13,Male,Club not found in database or club has no state_code
afc2675d-fa63-4176-a234-2a3c94f727e5,ECNL RL B12,St Croix Soccer Club,u14,Male,Club not found in database or club has no state_code
507f2cfc-dc68-4b3f-aaaf-b65676e949d3,ECNL RL B12,Hattiesburg FC,u14,Male,Club not found in database or club has no state_code
c67633be-d0bc-40bc-8f66-a63c0334324e,MSC Lakers ECNL RL B12,Mandeville Soccer Club,u14,Male,Club not found in database or club has no state_code
80cf668c-85e1-420e-9e24-f8dcabfa149c,ECNL RL B08/07,FC United Iowa,u18,Male,Club not found in database or club has no state_code
3d3b0833-6284-4125-9509-fcfd04e5dd41,ECNL RL B10,Sporting Iowa,u16,Male,Club not found in database or club has no state_code
d4d13875-fce9-4976-b9c8-bd8028bfd8bc,ECNL RL B11,Gretna Elite Academy,u15,Male,Club not found in database or club has no state_code
8dbe2c0c-97d0-41b9-887c-bfe691ec5bab,ECNL RL B11,Sporting Iowa,u15,Male,Club not found in database or club has no state_code
fe84c7d1-a11c-472b-8bbb-5dc4d6251051,ECNL RL B12,Sporting Iowa,u14,Male,Club not found in database or club has no state_code
42311bf0-ea00-42aa-8c14-8d05c5a8e0b6,Sporting Nebraska FC ECNL RL B13,Sporting Nebraska Football Club,u13,Male,Club not found in database or club has no state_code
e6983f36-5b30-48de-aeda-83c8c068b999,ECNL RL B08/07,Germantown Legends,u18,Male,Club not found in database or club has no state_code
d534a793-c38c-405c-8308-0594c01ae4ee,MSC Lakers ECNL RL B08/07,Mandeville Soccer Club,u18,Male,Club not found in database or club has no state_code
9ec01e30-298b-4dd0-a5e9-ddcc1d62f057,MSC Lakers ECNL RL B10,Mandeville Soccer Club,u16,Male,Club not found in database or club has no state_code
f4f6f671-7eb0-4ee7-a5cc-611298152e3b,United ECNL RL B10,Mississippi Rush,u16,Male,Club not found in database or club has no state_code
a3bcc09c-bbae-45b9-9d61-02321ca1ce1c,ECNL RL B10,FC Alliance,u16,Male,Club not found in database or club has no state_code
9f7cbd90-4780-4505-b39f-3be0baff8c7b,ECNL RL B12,Tupelo FC,u14,Male,Club not found in database or club has no state_code
7fb5c57a-9c64-4162-a564-10bede9071b2,ECNL RL B08/07,Coastal Rush,u18,Male,Club not found in database or club has no state_code
43a2b722-195c-4c91-9e2a-34ff976deff5,ECNL RL B09,Coastal Rush,u17,Male,Club not found in database or club has no state_code
e25cbc82-67fa-4daf-9e42-e81462513b6f,MSC Lakers  ECNL RL B09,Mandeville Soccer Club,u17,Male,Club not found in database or club has no state_code
687459d8-8055-40ab-bbb6-3eafd7d591bd,Sporting Nebraska FC ECNL RL B08/07,Sporting Nebraska Football Club,u18,Male,Club not found in database or club has no state_code
f8e431b5-7119-43fc-96e7-dd0be6b5f211,ECNL RL B10,Gretna Elite Academy,u16,Male,Club not found in database or club has no state_code
f3104b39-abb3-40df-b7db-bc21d22b4d4c,Sporting Nebraska FC ECNL RL B11,Sporting Nebraska Football Club,u15,Male,Club not found in database or club has no state_code
