team_id_master,team_name,club_name,age_group,gender,matched_state_code,confidence,all_state_codes,state_code_count,review_notes
fc6de8da-6519-4e4b-9bb5-18f97261793b,Premier ECNL RL B12,Vision Soccer Academy,u14,Male,IA,single_state,IA,1,
e62991dd-51e1-4cdc-b037-cb6c9d2090bf,ECNL RL B12,FC Wichita,u14,Male,KS,single_state,KS,1,
43fa2dfc-dd94-4866-8042-18ca0b25508d,ECNL RL B13,Kansas City Surf,u13,Male,KS,single_state,KS,1,
e4b0e0f3-054c-4bd8-9808-1c0f9cc54f53,ECNL RL B08/07,Tennessee United,u18,Male,TN,single_state,TN,1,
2539c273-b5d9-4a8f-81c5-5ed3dd9bcc28,ECNL RL B13,Tennessee United,u13,Male,TN,single_state,TN,1,
3dca9ff9-5129-4f57-af4a-f20fc5113575,ECNL RL B13,Chicago Magic,u13,Male,IL,single_state,IL,1,
f5f31b61-7bc2-45ae-bd8b-ca8f79ad28fa,FC ECNL RL B08/07,La Roca,u18,Male,UT,single_state,UT,1,
33c9475f-1ec4-46aa-9268-9c951f8fc1fb,ECNL RL B09,Utah Avalanche,u17,Male,UT,single_state,UT,1,
aebb457e-42f8-4329-9de4-ad23a74b9a07,ECNL RL B09,CCV Stars,u17,Male,AZ,single_state,AZ,1,
1a75c00b-094d-4484-aea9-bc0d1677589a,NUU Avalanche ECNL RL B11,Utah Avalanche,u15,Male,UT,single_state,UT,1,
59928bdb-3191-463d-b9ee-26e3327bbdc0,ECNL RL B11,CCV Stars,u15,Male,AZ,single_state,AZ,1,
c219c82b-5215-421a-8294-c6aac01bd7d4,Athletico ECNL RL B12,Real Colorado,u14,Male,CO,single_state,CO,1,
f1a97e3f-f7fa-4c1a-9708-3ef7427e80c3,North ECNL RL B13,Colorado Rapids,u13,Male,CO,single_state,CO,1,
072497d3-2faf-4eb9-89d9-cf1dad7f5bb2,NUU Avalanche ECNL RL B13,Utah Avalanche,u13,Male,UT,single_state,UT,1,
e2c44706-9945-4123-a6fd-a3dc20770d9b,NM Rapids ECNL RL B13,NM Rapids Soccer Club,u13,Male,NM,single_state,NM,1,
b0f3d956-c909-4b7a-9b90-af8f39b11fb0,United ECNL RL B08/07,Connecticut FC,u18,Male,CT,single_state,CT,1,
07d28c7c-d6e6-42bd-9e4b-9b40bc7a58b7,ECNL RL B11,Louisiana Fire Soccer Club,u15,Male,LA,single_state,LA,1,
1d3c9be3-6485-47b0-a94c-f1e33317d1be,ECNL RL B12,Gulf Coast United FC,u14,Male,MS,single_state,MS,1,
2f7820f8-7aa3-49aa-928b-d35d5009b252,ECNL RL B12,Kansas City Surf,u14,Male,KS,single_state,KS,1,
504cb29c-a08e-4fc7-9f55-508a22a4673e,Premier ECNL RL B13,Vision Soccer Academy,u13,Male,IA,single_state,IA,1,
1f40261a-1496-4bc8-97ae-87dfdd29f33f,ECNL RL B13,Kansas Rush,u13,Male,KS,single_state,KS,1,
5da8fef3-f000-4698-ab3f-c9c539d2f283,Tennessee SC ECNL RL B08/07,Tennessee Soccer Club,u18,Male,TN,single_state,TN,1,
68e748e6-0aed-4143-ad16-9bff1d0c9442,ECNL RL B08/07,Louisiana Fire Soccer Club,u18,Male,LA,single_state,LA,1,
00126b50-20cc-4d78-ab46-1d233e00d964,ECNL RL B09,Louisiana Fire Soccer Club,u17,Male,LA,single_state,LA,1,
29a7f7a8-1338-465e-b6bc-8200d509bf60,ECNL RL B09,Gulf Coast United FC,u17,Male,MS,single_state,MS,1,
b72ca4dd-e933-4175-906b-d352254bc661,ECNL RL B10,Tennessee United,u16,Male,TN,single_state,TN,1,
10944193-ff03-48db-adfc-cb58d3aaa90f,ECNL RL B12,Tennessee United,u14,Male,TN,single_state,TN,1,
26ab543b-9b8c-4222-9a25-564884a41036,NUU Avalanche ECNL RL B09,Utah Avalanche,u17,Male,UT,single_state,UT,1,
db8f7bfb-ab47-4a79-aba0-9fbc502d60dc,FC ECNL RL B2010,La Roca,u16,Male,UT,single_state,UT,1,
1b9e416c-3512-40a2-bed7-cc22882d75f5,ECNL RL B12,Union 10 FC,u14,Male,AL,single_state,AL,1,
7e403ae1-abb7-4373-a0a3-34cbfcc6663b,Premier ECNL RL B10,Vision Soccer Academy,u16,Male,IA,single_state,IA,1,
3c8bc9ff-ef4a-4bfe-bdbb-ccc3671a4183,ECNL RL B13,FC Wichita,u13,Male,KS,single_state,KS,1,
a9e904b2-b9da-4e91-88fb-eebcc4941bae,Tennessee SC Murfreesboro ECNL RL B09,Tennessee Soccer Club,u17,Male,TN,single_state,TN,1,
b15ee9fa-8f53-4be2-8b77-8287ac2c5bb0,NM Rapids ECNL RL B10,NM Rapids Soccer Club,u16,Male,NM,single_state,NM,1,
05d33c47-9f6e-4500-abeb-68840653be88,South ECNL RL B12,Colorado Rapids,u14,Male,CO,single_state,CO,1,
d0679e5e-b01f-45ff-b39d-33ffef6c8830,ECNL RL B13,Arsenal Colorado,u13,Male,CO,single_state,CO,1,
3a75345f-74cf-4109-89ab-e720b610126e,Tennessee SC Murfreesboro ECNL RL B11,Tennessee Soccer Club,u15,Male,TN,single_state,TN,1,
e0bfa052-1fc5-4c88-8578-646791cc47cc,Athletico ECNL RL B13,Real Colorado,u13,Male,CO,single_state,CO,1,
e8ff1b34-f7b6-4766-a3ab-fbd894469553,ECNL RL B13,CCV Stars,u13,Male,AZ,single_state,AZ,1,
11612a37-dfaa-4c3b-905a-1059b7fe31f5,United ECNL RL B13,Connecticut FC,u13,Male,CT,single_state,CT,1,
d5a81c38-def4-4cd1-900a-3d0d6c900bc3,ECNL RL B13,East Meadow SC,u13,Male,NY,single_state,NY,1,
a4144774-d82b-4223-af66-b386c1f34b15,ECNL RL B13,SUSA FC,u13,Male,NY,single_state,NY,1,
7fb25e4c-3b2c-43c5-a075-71cd411b6e85,ECNL RL B11,Gulf Coast United FC,u15,Male,MS,single_state,MS,1,
