team_id_master,team_name,club_name,age_group,gender,state,state_code,provider_team_id,notes
348272a2-b5ab-4371-b4fd-8ace46998e78,Nashville SC U16,Nashville SC,u16,Male,,TN,385,
35aa3296-6826-4d87-932e-56773663799d,D.C. United U16,D.C. United,u16,Male,,DC,40,
a3ab3c93-dae1-42b0-812f-46998288e044,Phoenix Rising FC U16,Phoenix Rising FC,u16,Male,,AZ,390,
270371c7-b1c3-4865-8796-709ceb9a2ffe,Vardar Soccer Club U16,Vardar Soccer Club,u16,Male,,MI,43,
c7f9ded1-fd42-4e10-a37c-e63bd9e2a6de,Orlando City Soccer School South U16,Orlando City Soccer School South,u16,Male,,FL,471,
f15eba44-8ba0-4c71-a993-a5eaa937a8e3,RSL Arizona Mesa U16,RSL Arizona Mesa,u16,Male,,AZ,563,
1914db44-47b7-4418-bd96-83de4c5d5fb9,West Florida Flames U16,West Florida Flames,u16,Male,,FL,399,
a11b2a12-fb94-43d4-891f-248307fc3157,Bethesda SC U16,Bethesda SC,u16,Male,,MD,91,
73bbdf28-6a71-4b56-9899-fe69d42c35e6,Santa Barbara Soccer Club U16,Santa Barbara Soccer Club,u16,Male,,CA,394,
3004db25-47af-4d80-9131-1ec84108958b,One Knoxville SC U16,One Knoxville SC,u16,Male,,TN,597,
60436003-f6ed-4ed2-b8fe-53fa76a226b5,ALBION SC Riverside U16,ALBION SC Riverside,u16,Male,,CA,871,
d2eaf7d4-98ea-4f94-9dd1-61d74dd45a41,AFC Lightning U16,AFC Lightning,u16,Male,,GA,455,
b26c5a21-c543-43c2-b776-a8b769a17888,Las Vegas Sports Academy U16,Las Vegas Sports Academy,u16,Male,,NV,467,
ef879b82-7e98-4c44-982c-1da52ef6b133,Sparta United Soccer Club U16,Sparta United Soccer Club,u16,Male,,UT,1350,
735034da-d27e-4fe0-894c-d0d5c2e8dd66,Dallas Hornets North U16,Dallas Hornets North,u16,Male,,TX,1268,
186575f1-d405-4bad-94e4-8f8a863ea201,SGA U16,SGA,u16,Male,,TX,1420,
4b9c8927-2854-43e7-a9a7-5fbe49307343,ALBION SC Las Vegas U16,ALBION SC Las Vegas,u16,Male,,NV,456,
147612bd-98fe-4878-9d7f-1bc824e4853e,Tulsa Greenwood SC U16,Tulsa Greenwood SC,u16,Male,,OK,1325,
6738b8f3-bc9d-46a1-b5a3-7950fed21bf4,SA United SC U16,SA United SC,u16,Male,,TX,1322,
ba18ac44-cb51-4b6a-9e58-76f129d57d52,Charleston SC U16,Charleston SC,u16,Male,,SC,1297,
d210d2c3-8d1a-4bee-9bd4-215a5434a0b6,Kings Hammer Nashville U16,Kings Hammer Nashville,u16,Male,,TN,1301,
1e908a5d-f11f-45c4-8125-570a6062e214,Capital City North U16,Capital City North,u16,Male,,TX,1266,
8859c20e-32b2-4b91-a344-4359f94d6dd5,Loudoun Soccer Club U16,Loudoun Soccer Club,u16,Male,,VA,1293,
6e36df3e-f2f7-4787-a38b-3643f0c1e50a,ALBION SC Merced U16,ALBION SC Merced,u16,Male,,CA,568,
b83b56e0-af22-4796-abb6-3124393deee9,Modesto Ajax United U16,Modesto Ajax United,u16,Male,,CA,859,
e50d8048-c303-4662-88fe-9068eb3dd37c,United Soccer Alliance U16,United Soccer Alliance,u16,Male,,IN,252,
ada89f23-2e59-4a37-a3cf-8f560ba396e6,Burlingame Soccer Club U16,Burlingame Soccer Club,u16,Male,,CA,132,
918f5dfe-951c-4116-b699-62544422289a,FC Richmond U16,FC Richmond,u16,Male,,VA,1292,
ae3ab1b2-77a0-4df6-bc5c-9a615e6b9368,Whatcom Rangers U16,Whatcom Rangers,u16,Male,,WA,1341,
7e34033b-2f36-49bd-adfc-3fdaaeadb395,Jacksonville FC U16,Jacksonville FC,u16,Male,,FL,1243,
9beb78b9-3822-4908-8dd8-daab40d51b7c,FC DELCO U16,FC DELCO,u16,Male,,PA,62,
de369227-31fb-4cf0-b886-48cd1dfd45e1,Real Futbol Academy U16,Real Futbol Academy,u16,Male,,NJ,401,
0e05ddef-0499-4d70-8966-3e07763269c2,St. Louis CITY SC U16,St. Louis CITY SC,u16,Male,,MO,470,
24dad883-e2bc-4fa8-ad6c-926466b1989f,Michigan Wolves U16,Michigan Wolves,u16,Male,,MI,273,
8ce2d0d8-d6aa-4581-987b-2640a6964245,Players Development Academy U16,Players Development Academy,u16,Male,,NJ,63,
93f4fd81-44d4-4c4e-8e33-697919dd94fe,Dallas Hornets U16,Dallas Hornets,u16,Male,,TX,866,
293323aa-4c83-4d94-b4cd-6d700836166c,Oakwood Soccer Club U16,Oakwood Soccer Club,u16,Male,,CT,25,
1bd07c2a-3087-4388-8542-a3d6838b78c4,TSF Academy U16,TSF Academy,u16,Male,,NJ,365,
37bd7846-4876-401c-b04d-507224823b3f,New York SC U16,New York SC,u16,Male,,NY,90,
43e5e6e4-bcc6-449a-b6ad-fab45422c836,Elmbrook United U16,Elmbrook United,u16,Male,,WI,1315,
7434c5f0-a2f9-4cb5-9932-65c4f3847e43,Wisconsin United FC U16,Wisconsin United FC,u16,Male,,WI,1320,
489e98b6-8983-425c-abcc-bbdee79eea7c,Tonka Fusion Elite U16,Tonka Fusion Elite,u16,Male,,MN,1319,
85f50c09-e35e-4f81-ab98-0b181253f4d6,Michigan Futbol Academy U16,Michigan Futbol Academy,u16,Male,,MI,1310,
2c54c396-98e8-48e6-b3f4-2c63fd303ad0,Broomfield Soccer Club U16,Broomfield Soccer Club,u16,Male,,CO,1342,
83d13383-4251-49b5-b200-90e9b2c17d28,ALBION SC Denver U16,ALBION SC Denver,u16,Male,,CO,1077,
c8256151-427f-4a98-8f00-77b3d78a0de6,Sporting Wichita U16,Sporting Wichita,u16,Male,,KS,961,
b5859dee-e8e8-4be6-8d3a-aa032ba1da0d,Michigan Tigers FC U16,Michigan Tigers FC,u16,Male,,MI,1313,
0da3b8ab-0045-4cbe-9a44-e28aa3584dad,Sporting Kansas City U16,Sporting Kansas City,u16,Male,,MO,41,
960cd41e-951d-41ae-8511-7c8f6999f4cc,Austin FC U16,Austin FC,u16,Male,,TX,362,
761f8cf2-f75e-453a-aaea-4f57b6087b52,PA Classics U16,PA Classics,u16,Male,,PA,29,
9d80aa3f-db03-4498-90e9-e7bd6c984055,Downtown Las Vegas Soccer Club U16,Downtown Las Vegas Soccer Club,u16,Male,,NV,882,
71c31cfe-f34b-4d4d-a13a-488cc8d532ce,Minnesota United FC U16,Minnesota United FC,u16,Male,,MN,191,
cedb52f3-a7c8-40da-b505-e2074650a40c,Beachside of Connecticut U16,Beachside of Connecticut,u16,Male,,CT,89,
a085db20-d709-4d0f-b396-2eed493e1048,CF Montreal U16,CF Montreal,u16,Male,,,18,
de11d95b-f129-45c9-a5ca-b3907307e7c2,Michigan Bucks Academy U16,Michigan Bucks Academy,u16,Male,,MI,1309,
f3c80ccf-dfc6-409f-bdd5-ff353aaff600,Carolina Core FC U16,Carolina Core FC,u16,Male,,NC,1272,
58bbe5d7-dba7-4c9a-9622-d1be65234966,Indy Eleven U16,Indy Eleven,u16,Male,,IN,48,
2d42d21f-fa9c-41ad-81c2-1bb828ca043b,NEFC U16,NEFC,u16,Male,,MA,405,
774416aa-f118-4b77-924a-81782d56a297,Javanon FC U16,Javanon FC,u16,Male,,KY,400,
2b5a9055-5519-43b0-bbe7-d0b57a47774b,Club Ohio U16,Club Ohio,u16,Male,,OH,1307,
