provider,scrape_run_id,event_id,schedule_id,age_year,gender,team_id,team_id_source,team_name,club_name,opponent_id,opponent_id_source,opponent_name,opponent_club_name,game_date,game_time,home_away,goals_for,goals_against,result,venue,source_url,scraped_at
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37043,2014,Girls,76920,76920,Legends FC SCV - G15 FC,Legends FC SCV,122194,122194,AYSO United - United SoCal AV G2014,AYSO United,2025-11-29,14:20:00,A,5,3,W,Field 12,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37043,2014,Girls,110768,110768,Eagles Soccer Club - 2014 Eagles White,Eagles Soccer Club,76088,76088,Eagles SC G2015,Eagles Soccer Club,2025-11-29,14:30:00,H,0,1,L,Field 11,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37043,2014,Girls,76088,76088,Eagles SC G2015,Eagles Soccer Club,110768,110768,Eagles Soccer Club - 2014 Eagles White,Eagles Soccer Club,2025-11-29,14:30:00,A,1,0,W,Field 11,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37043,2014,Girls,76088,76088,Eagles SC G2015,Eagles Soccer Club,122194,122194,AYSO United - United SoCal AV G2014,AYSO United,2025-11-30,09:00:00,H,4,1,W,Field 14,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37043,2014,Girls,122194,122194,AYSO United - United SoCal AV G2014,AYSO United,76088,76088,Eagles SC G2015,Eagles Soccer Club,2025-11-30,09:00:00,A,1,4,L,Field 14,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37043,2014,Girls,110768,110768,Eagles Soccer Club - 2014 Eagles White,Eagles Soccer Club,76920,76920,Legends FC SCV - G15 FC,Legends FC SCV,2025-11-30,09:00:00,H,3,5,L,Field 12,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37043,2014,Girls,76920,76920,Legends FC SCV - G15 FC,Legends FC SCV,110768,110768,Eagles Soccer Club - 2014 Eagles White,Eagles Soccer Club,2025-11-30,09:00:00,A,5,3,W,Field 12,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37043,2014,Girls,76088,76088,Eagles SC G2015,Eagles Soccer Club,76920,76920,Legends FC SCV - G15 FC,Legends FC SCV,2025-11-30,11:40:00,H,3,1,W,Field 14,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37043,2014,Girls,76920,76920,Legends FC SCV - G15 FC,Legends FC SCV,76088,76088,Eagles SC G2015,Eagles Soccer Club,2025-11-30,11:40:00,A,1,3,L,Field 14,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37042,2015,Girls,77624,77624,Eagles Soccer Club - Eagles SC G2015 White,Eagles Soccer Club,122450,122450,Central Coast Surf - Central Coast Surf G2015 Blac,Central Coast Surf,2025-11-29,10:20:00,H,0,1,L,Field 13,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
tgs,2025-12-11T20:26:36.840795+00:00_ff270d,4066,37042,2015,Girls,122450,122450,Central Coast Surf - Central Coast Surf G2015 Blac,Central Coast Surf,77624,77624,Eagles Soccer Club - Eagles SC G2015 White,Eagles Soccer Club,2025-11-29,10:20:00,A,1,0,W,Field 13,https://public.totalglobalsports.com/public/event/4066,2025-12-11T20:26:36.840795+00:00
