scrape_run_id,event_id,schedule_id,age_year,gender,team_id,team_id_source,team_name,opponent_id,opponent_id_source,opponent_name,game_date,game_time,home_away,goals_for,goals_against,result,venue,source_url,scraped_at
2025-12-11T03:46:43.837100+00:00_880f96,4067,35457,2012,G,tgs:9012adc83edf,tgs:9012adc83edf,Arizona Arsenal ECNL G12,tgs:bebee6f361c3,tgs:bebee6f361c3,Pateadores ECNL G12,2025-12-07T11:00:00,11:00:00,H,3,0,W,Field 20 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
2025-12-11T03:46:43.837100+00:00_880f96,4067,35457,2012,G,tgs:bebee6f361c3,tgs:bebee6f361c3,Pateadores ECNL G12,tgs:9012adc83edf,tgs:9012adc83edf,Arizona Arsenal ECNL G12,2025-12-07T11:00:00,11:00:00,A,0,3,L,Field 20 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
2025-12-11T03:46:43.837100+00:00_880f96,4067,35457,2012,G,tgs:26b3ec3b2402,tgs:26b3ec3b2402,San Diego Surf - ECNL G13,tgs:9960f10e35e3,tgs:9960f10e35e3,San Diego Surf ECNL RL Southwest G12,2025-12-07T11:00:00,11:00:00,H,3,0,W,Field 9 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
2025-12-11T03:46:43.837100+00:00_880f96,4067,35457,2012,G,tgs:9960f10e35e3,tgs:9960f10e35e3,San Diego Surf ECNL RL Southwest G12,tgs:26b3ec3b2402,tgs:26b3ec3b2402,San Diego Surf - ECNL G13,2025-12-07T11:00:00,11:00:00,A,0,3,L,Field 9 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
2025-12-11T03:46:43.837100+00:00_880f96,4067,35457,2012,G,tgs:9738534c2c36,tgs:9738534c2c36,San Diego Surf ECNL G12,tgs:86fdb6567f28,tgs:86fdb6567f28,Slammers FC HB Koge ECNL G13,2025-12-07T15:00:00,15:00:00,H,4,0,W,Field 9 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
2025-12-11T03:46:43.837100+00:00_880f96,4067,35457,2012,G,tgs:86fdb6567f28,tgs:86fdb6567f28,Slammers FC HB Koge ECNL G13,tgs:9738534c2c36,tgs:9738534c2c36,San Diego Surf ECNL G12,2025-12-07T15:00:00,15:00:00,A,0,4,L,Field 9 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
2025-12-11T03:46:43.837100+00:00_880f96,4067,35471,2012,G,tgs:387dfa8e42b9,tgs:387dfa8e42b9,Burlingame SC - ECNL RL G12,tgs:30161cacbeb6,tgs:30161cacbeb6,South Valley Surf - G2012,2025-12-06T08:00:00,08:00:00,H,0,1,L,Field 19 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
2025-12-11T03:46:43.837100+00:00_880f96,4067,35471,2012,G,tgs:30161cacbeb6,tgs:30161cacbeb6,South Valley Surf - G2012,tgs:387dfa8e42b9,tgs:387dfa8e42b9,Burlingame SC - ECNL RL G12,2025-12-06T08:00:00,08:00:00,A,1,0,W,Field 19 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
2025-12-11T03:46:43.837100+00:00_880f96,4067,35471,2012,G,tgs:a6d5103dad57,tgs:a6d5103dad57,Colorado Rapids -ECNL-RL G12 South,tgs:6a9a528ed2a3,tgs:6a9a528ed2a3,Elmhurst City Surf - ECS 2012 G Elite,2025-12-06T08:00:00,08:00:00,H,0,3,L,Field 20 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
2025-12-11T03:46:43.837100+00:00_880f96,4067,35471,2012,G,tgs:6a9a528ed2a3,tgs:6a9a528ed2a3,Elmhurst City Surf - ECS 2012 G Elite,tgs:a6d5103dad57,tgs:a6d5103dad57,Colorado Rapids -ECNL-RL G12 South,2025-12-06T08:00:00,08:00:00,A,3,0,W,Field 20 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
2025-12-11T03:46:43.837100+00:00_880f96,4067,35471,2012,G,tgs:8c290ab9817d,tgs:8c290ab9817d,Colorado Rapids Central ECNL RL G12,tgs:0228a574561d,tgs:0228a574561d,Monterey Surf SC - Monterey Surf G12 ECNL-RL,2025-12-06T09:45:00,09:45:00,H,0,0,D,Field 17 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
2025-12-11T03:46:43.837100+00:00_880f96,4067,35471,2012,G,tgs:0228a574561d,tgs:0228a574561d,Monterey Surf SC - Monterey Surf G12 ECNL-RL,tgs:8c290ab9817d,tgs:8c290ab9817d,Colorado Rapids Central ECNL RL G12,2025-12-06T09:45:00,09:45:00,A,0,0,D,Field 17 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
2025-12-11T03:46:43.837100+00:00_880f96,4067,35471,2012,G,tgs:95b9574d12fe,tgs:95b9574d12fe,Arizona Arsenal ECNL RL G12,tgs:00ff0f228925,tgs:00ff0f228925,Rebels SC ECNL RL G12,2025-12-06T10:30:00,10:30:00,H,0,2,L,Field 9 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
2025-12-11T03:46:43.837100+00:00_880f96,4067,35471,2012,G,tgs:00ff0f228925,tgs:00ff0f228925,Rebels SC ECNL RL G12,tgs:95b9574d12fe,tgs:95b9574d12fe,Arizona Arsenal ECNL RL G12,2025-12-06T10:30:00,10:30:00,A,2,0,W,Field 9 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
2025-12-11T03:46:43.837100+00:00_880f96,4067,35471,2012,G,tgs:6a9a528ed2a3,tgs:6a9a528ed2a3,Elmhurst City Surf - ECS 2012 G Elite,tgs:387dfa8e42b9,tgs:387dfa8e42b9,Burlingame SC - ECNL RL G12,2025-12-06T11:45:00,11:45:00,H,0,1,L,Field 9 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
2025-12-11T03:46:43.837100+00:00_880f96,4067,35471,2012,G,tgs:387dfa8e42b9,tgs:387dfa8e42b9,Burlingame SC - ECNL RL G12,tgs:6a9a528ed2a3,tgs:6a9a528ed2a3,Elmhurst City Surf - ECS 2012 G Elite,2025-12-06T11:45:00,11:45:00,A,1,0,W,Field 9 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
