provider,team_id,team_id_source,team_name,club_name,opponent_id,opponent_id_source,opponent_name,opponent_club_name,age_group,gender,state,competition,division_name,event_name,venue,game_date,home_away,goals_for,goals_against,result,source_url,scraped_at
modular11,1146,1146,Long Island Soccer Club U13 AD,Long Island Soccer Club,38,38,FC Westchester U13 AD,FC Westchester,U13,Male,,League,Northeast,League,SUNY Purchase - Stadium Turf,2025-11-08,A,1,2,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,21,21,Philadelphia Union U13 AD,Philadelphia Union,29,29,PA Classics U13 AD,PA Classics,U13,Male,,League,Mid-Atlantic,League,WSFS Bank SportsPlex - Field 4,2025-11-08,H,8,0,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,29,29,PA Classics U13 AD,PA Classics,21,21,Philadelphia Union U13 AD,Philadelphia Union,U13,Male,,League,Mid-Atlantic,League,WSFS Bank SportsPlex - Field 4,2025-11-08,A,0,8,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,334,334,FC Cincinnati U13 AD,FC Cincinnati,1310,1310,Michigan Futbol Academy U13 AD,Michigan Futbol Academy,U13,Male,,League,Mid-America,League,Milford High School - Charity Lucas Soccer Field,2025-11-08,H,0,2,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,1310,1310,Michigan Futbol Academy U13 AD,Michigan Futbol Academy,334,334,FC Cincinnati U13 AD,FC Cincinnati,U13,Male,,League,Mid-America,League,Milford High School - Charity Lucas Soccer Field,2025-11-08,A,2,0,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,468,468,Lou Fusz Athletic U13 AD,Lou Fusz Athletic,48,48,Indy Eleven U13 AD,Indy Eleven,U13,Male,,League,Mid-America,League,Lou Fusz Athletic Soccer Complex - Field #6,2025-11-08,H,2,3,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,48,48,Indy Eleven U13 AD,Indy Eleven,468,468,Lou Fusz Athletic U13 AD,Lou Fusz Athletic,U13,Male,,League,Mid-America,League,Lou Fusz Athletic Soccer Complex - Field #6,2025-11-08,A,3,2,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,1421,1421,San Diego FC U13 AD,San Diego FC,101,101,ALBION SC San Diego U13 AD,ALBION SC San Diego,U13,Male,,League,Southwest,League,Sharp Healthcare Performance Center - Field 1,2025-11-08,H,2,2,D,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,101,101,ALBION SC San Diego U13 AD,ALBION SC San Diego,1421,1421,San Diego FC U13 AD,San Diego FC,U13,Male,,League,Southwest,League,Sharp Healthcare Performance Center - Field 1,2025-11-08,A,2,2,D,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,1406,1406,Huntsville City FC U13 AD,Huntsville City FC,455,455,AFC Lightning U13 AD,AFC Lightning,U13,Male,,League,Southeast,League,Wick Family Field - Stadium,2025-11-08,H,0,5,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,455,455,AFC Lightning U13 AD,AFC Lightning,1406,1406,Huntsville City FC U13 AD,Huntsville City FC,U13,Male,,League,Southeast,League,Wick Family Field - Stadium,2025-11-08,A,5,0,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,335,335,Inter Miami CF U13 AD,Inter Miami CF,471,471,Orlando City Soccer School South U13 AD,Orlando City Soccer School South,U13,Male,,League,Florida,League,Florida Blue Training Center - Field 4,2025-11-08,H,6,0,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
