Provider Team ID,Master Team ID,Team Name,Club Name,Age Group,Gender,State Code,Match Method,Confidence,Division
1350,ba46e6d0-06a2-4bfe-8ee6-366562cb3e93,Sparta B13 MLS NEXT AD Academy,Sparta United,u13,Male,UT,manual,100.0%,N/A
474,c65e3553-c10d-4fdc-b85f-c1e9c3bac69c,Strikers FC - Irvine 2013B MLS Next,,u13,Male,CA,manual,100.0%,N/A
580,56bd5a5c-f804-4508-837f-b4e74b27156a,13 MLSN,FC Tucson Youth Soccer,u13,Male,AZ,manual,100.0%,N/A
1352,e72bebf9-7ab8-448c-86d4-c746eada4ce0,B2013 MLS Next Academy,Sporting San Diego,u13,Male,CA,manual,100.0%,N/A
1134,af541fcd-5643-4a47-b37e-4f66747ad7c2,Phoenix Premier FC 13B Black,Phoenix Premier FC,u13,Male,AZ,manual,100.0%,N/A
132,4586553b-effc-46fb-be8a-863830f5e4ae,Burlingame SC 2013B NPL,Burlingame Soccer Club,u13,Male,CA,manual,100.0%,N/A
390,433ad64d-9a1a-4e7a-afd0-79c4bb5e600b,Phoenix Rising FC U13B,Phoenix Rising FC,u13,Male,AZ,manual,100.0%,N/A
393,4b5aab76-613a-4a0b-95bf-ac559c423ed9,Chula Vista FC 13B EA,Chula Vista FC,u13,Male,CA,manual,100.0%,N/A
871,b3037c92-8694-4577-99f3-117a5484408c,ALBION SC Riverside B13 Premier,ALBION SC Riverside,u13,Male,CA,manual,100.0%,N/A
925,236f83dc-b876-4477-bcd4-aac388b6d012,Oaks FC B13 MLS AD,Oaks FC,u13,Male,CA,manual,100.0%,N/A
name:diablo-valley-futbol-club,1b09195b-d19b-4d69-82eb-580dc812e6b4,Diablo Valley FC U13,Diablo Valley Futbol Club,u13,Male,CA,manual,100.0%,N/A
1096,df7c4914-9961-4d63-90b0-62d9d70d6e9e,Atletico B13 MLSNEXT,Atletico (WA),u13,Male,WA,manual,100.0%,N/A
964,5e154d5b-c69e-427a-bbfe-c86d9d110328,ALBION SC Colorado U13 MLS NEXT AD,ALBION SC Colorado,u13,Male,CO,manual,100.0%,N/A
1322,1ffee880-a4c8-4974-842e-dad78ded698d,SA United 13B MLS Next,SA United Soccer Club,u13,Male,TX,manual,100.0%,N/A
158,f94e943a-9196-47b8-84f8-4618f10c7115,Elk Grove Soccer U13 MLS NEXT AD,Elk Grove Soccer,u13,Male,CA,manual,100.0%,N/A
401,1a4e18ff-21a0-46fd-9d12-80f8c732bf04,Real FA U13 MLS NEXT AD,Real Futbol Academy,u13,Male,NJ,manual,100.0%,N/A
1420,3c24f92e-d41c-4860-a76a-0ed1375fb6c1,LTE SGA 13B Premier,LTFC,u13,Male,TX,manual,100.0%,N/A
463,f7981249-91f7-4a7e-ae2c-4f792282f28a,IdeaSport SA 2013 MLS NEXT I,IdeaSport Soccer Academy,u13,Male,FL,manual,100.0%,N/A
364,df631b65-74c8-45b5-9aa5-88571c103574,U12 Orlando City SC Purple,Orlando City Soccer Club,u13,Male,FL,manual,100.0%,N/A
70,a6139db4-6ed1-425e-9c15-71dc0eb478ea,Rochester NY FC U13 MLS NEXT HD,Rochester NY FC,u13,Male,NY,manual,100.0%,N/A
49,9d30b4e3-dbe0-4f99-863e-8f1766e8fb3f,Colorado Rapids U13 MLS NEXT HD,Colorado Rapids,u13,Male,CO,manual,100.0%,N/A
name:jacksonville-fc,bbc914dd-96bc-4cc8-87d4-080154add882,JFC 2013 MLS NEXT Homegrown Divsion,Jacksonville FC,u13,Male,FL,manual,100.0%,N/A
399,f318a108-5d13-424f-9911-c5f1dc66118e,2013 MLS Next,West Florida Flames,u13,Male,FL,manual,100.0%,N/A
35,4b40ef95-30c7-4856-ad30-5d33dd6b4d15,Miami Futbol Academy Rush U13 MLS NEXT HD,Miami Futbol Academy Rush,u13,Male,FL,manual,100.0%,N/A
11,00d5f111-c284-4280-a931-6ca72d1e1163,Weston FC 2013 MLS Next,Weston FC,u13,Male,FL,manual,100.0%,N/A
869,0fe1c1de-4073-4c91-89c4-fc41be6ec1c9,NUSA 13 Boys Maroon,Nashville United Soccer Academy,u13,Male,TN,manual,100.0%,N/A
1145,f81b4c90-83fc-47ed-8429-2d48807ca45e,Carolina Core FC U13 MLS NEXT HD,Carolina Core FC,u13,Male,NC,manual,100.0%,N/A
856,32d861e7-0869-4229-877a-b77c71032349,Athletum FC Academy U13 MLS NEXT HD,Athletum FC Academy,u13,Male,FL,manual,100.0%,N/A
363,391628c9-e13c-48c0-a3d4-c52f748f9b00,Sol SC Florida 2013B MLS Next,Sol SC Florida,u13,Male,FL,manual,100.0%,N/A
36,9e1d58ee-c9c9-41c8-9ea5-1adcc4893fcd,Chargers Soccer Club U13 MLS NEXT HD,Chargers Soccer Club,u13,Male,FL,manual,100.0%,N/A
22,df631b65-74c8-45b5-9aa5-88571c103574,U12 Orlando City SC Purple,Orlando City Soccer Club,u13,Male,FL,manual,100.0%,N/A
1321,2f2a30ca-2177-439b-8127-eed8f79bccad,Houston Futsal Club (HFA) U13 MLS NEXT AD,Houston Futsal Club (HFA),u13,Male,TX,manual,100.0%,N/A
868,d3905b11-4570-47e0-a570-ec52a9771874,Rangers U13 MLS Next HG,Houston Rangers,u13,Male,TX,manual,100.0%,N/A
1330,2af48f18-42e7-4c22-a07d-a070858ae4cc,U13B MLS Next New Tier/NAL,St. Louis Development Academy,u13,Male,MO,manual,100.0%,N/A
1314,0b1ba44f-af62-422f-974f-3dde66760c69,SLSG IL B 2013 MLS Next AD - Heartland,St. Louis Scott Gallagher,u13,Male,IL,manual,100.0%,N/A
1280,87826a46-0476-4fb5-a80a-a55114d69b40,New York Rush U13 MLS NEXT AD,New York Rush,u13,Male,NY,manual,100.0%,N/A
1279,f59d0036-f20e-42c0-aa63-eebce37d3d03,New York Elite Alleycats FC 2013 MLS NEXT AD,New York Elite Alleycats,u13,Male,NY,manual,100.0%,N/A
403,2d9cffe7-8fae-49cd-8167-b0c23c907edc,Bayside FC U13 MLS NEXT AD,Bayside FC,u13,Male,RI,manual,100.0%,N/A
1281,f79163cc-7cf3-4b12-879c-a733ba1ce89b,Rhode Island Surf B2013 MLS,Rhode Island Surf,u13,Male,RI,manual,100.0%,N/A
494,d2c2bc84-15f4-4223-a7a9-1e54e0fbe80b,Charlotte Independence Soccer Club U13 MLS NEXT AD,Charlotte Independence Soccer Club,u13,Male,NC,manual,100.0%,N/A
1297,f186e225-93e7-43c3-b774-a98473541fb6,CSC 13 Boys Navy North,Charleston Soccer Club,u13,Male,SC,manual,100.0%,N/A
791,36d1a84a-80c9-42b9-b488-cfae51823369,FC Harlem U13 MLS NEXT AD,FC Harlem,u13,Male,NY,manual,100.0%,N/A
1323,231d3a87-18c6-450f-a8e4-0431bf3293c3,Ozark United FC Academy U13 MLS NEXT AD,Ozark United FC Academy,u13,Male,AR,manual,100.0%,N/A
1325,daac55aa-5cae-4fd2-a433-1e4f3a80a001,One Knox 13B- MLS Next,One Knoxville Youth Club,u13,Male,TN,manual,100.0%,N/A
597,daac55aa-5cae-4fd2-a433-1e4f3a80a001,One Knox 13B- MLS Next,One Knoxville Youth Club,u13,Male,TN,manual,100.0%,N/A
383,5b7cfdb6-eb80-454b-9229-a43517c4df82,Inter Atlanta FC 13B Blue - Pre MLS Next,Inter Atlanta FC Blues,u13,Male,GA,manual,100.0%,N/A
471,3b951007-a81b-4c73-bd01-4e60330c30fb,OCSS-SOUTH U13 MLS next,OCSS - South,u14,Male,FL,manual,100.0%,N/A
335,771ac965-adf7-4f5e-b95d-b7105001b286,IMCFA 2013,Inter Miami CF,u13,Male,FL,manual,100.0%,N/A
25,f5523d6b-3e32-454a-b5f2-3f2c09d87bed,Oakwood SC 13 MLS Next 2,Oakwood Soccer Club,u13,Male,CT,manual,100.0%,N/A
1331,1f5f5804-8183-4b69-9469-103d34edcd18,Sting NE 2013B MLS Next 2 Davis,Sting Nebraska,u13,Male,NE,manual,100.0%,N/A
1268,1aaa458c-91d6-47f0-b1da-621e3cb5baba,Hornets U13 (2013) MLS Next AD North,Dallas Hornets,u13,Male,TX,manual,100.0%,N/A
567,a9131c17-8264-41d1-aae5-e5ca0d69ecde,Triangle United Soccer Association U13 MLS NEXT HD,Triangle United Soccer Association,u13,Male,NC,manual,100.0%,N/A
95,a03035cd-c29d-4b6c-b0ef-fbf7f25b71ba,Atlanta United U13 MLS NEXT HD,Atlanta United,u13,Male,GA,manual,100.0%,N/A
1271,8e066ff6-87d6-4def-90ae-49de242205ff,St. Louis Scott Gallagher St. Charles (Missouri) U13 MLS NEXT AD,St. Louis Scott Gallagher St. Charles (Missouri),u13,Male,MO,manual,100.0%,N/A
1267,4c2c3d0c-9efe-4797-ba2e-cc72f88ca62a,Capital City South U13 MLS NEXT AD,Capital City South,u13,Male,TX,manual,100.0%,N/A
1144,0359b369-aeaa-49ef-ba6e-0addfcdaeb31,AC River U13 MLS NEXT AD,AC River,u13,Male,TX,manual,100.0%,N/A
382,566a020c-57d7-4c39-9f35-edb9fbb8a1ff,LSA Gainesville Pre MLS 13B Navy (SCCL),Lanier Soccer Academy,u13,Male,GA,manual,100.0%,N/A
