modular11_club,modular11_club_normalized,modular11_team_id,modular11_ages,modular11_divisions,modular11_games,match_1_db_team_id,match_1_db_team_name,match_1_db_club,match_1_db_age,match_1_score,match_2_db_team_id,match_2_db_team_name,match_2_db_club,match_2_db_age,match_2_score,match_3_db_team_id,match_3_db_team_name,match_3_db_club,match_3_db_age,match_3_score,selected_db_team_id
Total Futbol Academy,total futbol,249,"U13, U14, U15, U16, U17","AD, HD",190,a7cf3987-93d3-4c2d-ab88-5ee7ea57c26a,TFA 2009 MLS-Next,Total Futbol Academy,u17,100,74d5b5b4-6b87-4198-bc3a-58f788c62eb9,TFA MLS 2011,Total Futbol Academy,u15,100,09332b78-b86a-4047-9e81-5cfb01b858f8,TFA MLS NEXT 2010,Total Futbol Academy,u16,100,
Athletum FC Academy,athletum fc,856,"U13, U14, U15, U16, U17","AD, HD",190,2c372647-16ba-4b27-af3c-9985ce56eeb3,Athletum FC MLS 2010,Athletum SC,u16,84.21052631578947,8f0853ba-c592-4c1b-aac2-ff73036bdccc,Athletum FC MLS 2012,Athletum SC,u14,84.21052631578947,481b8253-837c-4493-9f46-575b76447832,Athletum FC MLS 2011,Athletum SC,u15,84.21052631578947,
Sacramento United,sacramento united,564,"U13, U14, U15, U16, U17","AD, HD",189,d6b3203a-2632-4a3a-904d-313600c07018,11B MLS Next 2,Sacramento United,u15,100,b4a673b7-cf52-4a0f-8b5d-5492e42baddf,08 MLS Next,Sacramento United,u18,100,c8dc3d69-22ce-4cff-93cf-802f4e4eeb66,09 MLS Next,Sacramento United,u17,100,
South Florida Football Academy,south florida football,278,"U13, U14, U15, U16, U17","AD, HD",189,e533e945-c0b5-493f-8c88-09e430c2ebcf,SFFA Boys 2012 AD,South Florida Football Academy,u14,100,983eade2-85c2-4bb1-a26f-008a90110e0a,South Florida Football Academy 2009,South Florida Football Academy,u17,100,435ba3be-7676-42e2-82d8-b2aec0717ab6,South Florida Football Academy 2010,South Florida Football Academy,u16,100,
Las Vegas Sports Academy,las vegas sports,467,"U13, U14, U15, U16, U17","AD, HD",188,0480357a-ded6-412c-833f-0cf9a88a283c,Las Vegas Sports Academy U10 Boys Grey 2016,Las Vegas Sports Academy,u10,100,d14c36ee-6a04-41d8-8991-c8a35f843fa1,Las Vegas Sports Academy U10 Boys Black 2016,Las Vegas Sports Academy,u10,100,cd611e59-9479-4c5c-ad08-bc06ddc47187,Las Vegas Sports Academy U11 Boys Black 2015,Las Vegas Sports Academy,u11,100,
ALBION SC San Diego,albion sc san diego,101,"U13, U14, U15, U16, U17","AD, HD",188,6a7c963f-c856-4eed-bedd-b1f090ff117e,Albion SC - Boys 2014,ALBION SC San Diego,u11,100,46b48d40-47e1-4f8e-a3b0-099bb42f71fb,ALBION SC San Diego B08 Academy,ALBION SC San Diego,u18,100,b24e57c0-c474-4c14-91be-cc9b60c46550,ALBION SC San Diego B09 EA,ALBION SC San Diego,u17,100,
Queen City Mutiny FC,queen city mutiny,472,"U13, U14, U15, U16, U17","AD, HD",188,8354cf28-54e9-4925-9533-ef0a14f7a046,CCLNC Queen City Mutiny 2012,Queen City Mutiny,u14,100,29124555-181d-4113-bc8a-e7253e2dd076,QCM 2009 MLS Next AD,Queen City Mutiny,u17,100,f2d4e132-ea0a-4c51-8b8f-c1dcc441e5f0,QCM 2010 MLS Next AD,Queen City Mutiny,u16,100,
Tampa Bay United,tampa bay united,387,"U13, U14, U15, U16, U17","AD, HD",187,32ae4204-c65c-4eca-949f-677e9f0347c7,Tampa Bay United MLS 2008,Tampa Bay United,u17,100,cdb3be25-84ae-4cde-a826-beb85f4dafa2,TBU 2010B MLS Next HG,Tampa Bay United,u16,100,a5cb5a0b-6625-4c0a-8ba5-01d894494865,TBU 2010/2011B Elite Wesley Chapel,Tampa Bay United,u16,100,
IMG,img,37,"U13, U14, U15, U16, U17","AD, HD",187,e5647453-5c0a-45f9-bae4-cc56572535db,IMG Academy Select 2013 Boys,IMG Academy,u13,100,111f5e06-25bb-4cfb-8488-d30a504d2982,IMG U13 HG Boys,IMG Academy,u13,100,39d2daf4-fecd-4294-b92d-07abcfb83627,IMG U15 HG Boys,IMG Academy,u15,100,
AC River,river,1144,"U13, U14, U15, U16, U17","AD, HD",186,65db6192-dff9-412b-8af4-ebd793cdc6cb,RSC '14 Boys Black,River Soccer Club,u12,100,b50444e6-397c-450e-9367-9ff1a2e38d0c,RSC '10 Boys GOLD,River Soccer Club,u16,100,ee2089f4-1fc5-4b05-a2b0-9685510e0a29,RSC '11 Boys,River Soccer Club,u15,100,
ALBION SC Las Vegas,albion sc las vegas,456,"U13, U14, U15, U16, U17","AD, HD",185,7c0637ac-371c-4b29-b39f-5988753a95f8,ALBION SC Las Vegas B10 EA,ALBION SC Las Vegas,u16,100,95a00bde-38fc-4fb5-a207-b5b65d38a900,ALBION SC Las Vegas B15 Academy III,ALBION SC Las Vegas,u11,100,c9e676d5-5182-47c8-a628-6de69d2ed15e,ALBION SC Las Vegas B14 Academy I,ALBION SC Las Vegas,u12,100,
Ventura County Fusion,ventura county fusion,397,"U13, U14, U15, U16, U17","AD, HD",184,f6990156-4020-4c33-80a5-47f4f5dfea88,Oaks FC EA 2009,Ventura County Fusion,u17,100,dc143b4d-4bc7-456a-b356-2f984f93426c,VC Fusion B15 MA,Ventura County Fusion,u11,100,ddc8c0af-eabc-408e-a60f-e1553c97343e,VC Fusion EA,Ventura County Fusion,u14,100,
Napa United,napa united,410,"U13, U14, U15, U16, U17","AD, HD",179,c4982491-8730-4f77-a7a8-ceec2fc07d1a,Napa United 2008B MLS,Napa United,u18,100,780f8864-a1d4-41d8-bf8e-96d6ba85cf62,Napa United Academy 10B,Napa United,u16,100,847dc117-d50e-4def-853e-4cb31cf901f5,Napa United 13B Elite,Napa United,u13,100,
Silicon Valley Soccer Academy,silicon valley,104,"U13, U14, U15, U16, U17","AD, HD",178,eb1651db-c6ad-4b3d-b8fd-0fd94f5dc730,Silicon Valley SA 2010B MLS,Silicon Valley SA,u16,100,a8b54147-d0fe-416c-b29f-3d5a847d0931,Silicon Valley SA U17,Silicon Valley SA,u18,100,,,,,,
