modular11_id,modular11_club,modular11_team_names,modular11_games,confidence,db_team_id,db_team_name,db_age_group,approve
1267,Capital City South,Capital City South U13 AD | Capital City South U14 AD | Capital City South U15 AD | Capital City South U16 AD | Capital City South U17 AD,69,84.8,27c30de5-3728-4b6f-b034-24bc9df84c02,Capital City SC 2008 MLS Next,u18,
1284,FC Hudson Valley,FC Hudson Valley U13 AD | FC Hudson Valley U14 AD,21,84.8,c0cd55d4-6c01-44fc-81ff-0077dc67f93f,DCFC Huron Valley 2014 rouge,u12,
1284,FC Hudson Valley,FC Hudson Valley U13 AD | FC Hudson Valley U14 AD,21,84.8,bacf856b-ddae-45d9-99e5-a2bab9f2775d,DCFC Huron Valley 2016 rouge,u10,
1284,FC Hudson Valley,FC Hudson Valley U13 AD | FC Hudson Valley U14 AD,21,84.8,9a34f1de-dcd3-4357-98ce-eda4211dd62c,DCFC Huron Valley 2015 Gold,u11,
31,Chicago Fire FC,Chicago Fire FC U13 HD | Chicago Fire FC U14 HD | Chicago Fire FC U15 HD | Chicago Fire FC U16 HD | Chicago Fire FC U17 HD,71,84.6,416560e0-d4e9-405d-99d1-6d3306e1695f,Chicago Empire 2013 Blue Boys,u13,
31,Chicago Fire FC,Chicago Fire FC U13 HD | Chicago Fire FC U14 HD | Chicago Fire FC U15 HD | Chicago Fire FC U16 HD | Chicago Fire FC U17 HD,71,84.6,7b686d66-0ecd-4c13-969d-dc0f4e1cf2b3,Chicago Empire 2012 Blue Boys,u14,
31,Chicago Fire FC,Chicago Fire FC U13 HD | Chicago Fire FC U14 HD | Chicago Fire FC U15 HD | Chicago Fire FC U16 HD | Chicago Fire FC U17 HD,71,84.6,199a250a-1055-49fe-a471-44ff70838613,Chicago Empire 2010 Girls E64,u16,
1348,Monarchs AZ,Monarchs AZ U13 AD | Monarchs AZ U14 AD | Monarchs AZ U15 AD | Monarchs AZ U16 AD | Monarchs AZ U17 AD,68,84.2,c3ab76f5-9401-4c26-92ac-55007237a1bc,Monarchs,u15,
1348,Monarchs AZ,Monarchs AZ U13 AD | Monarchs AZ U14 AD | Monarchs AZ U15 AD | Monarchs AZ U16 AD | Monarchs AZ U17 AD,68,84.2,a1ec2859-27c4-4dd6-b414-5416764a3144,Monarchs,u10,
1306,Chicago Fire Youth SC,Chicago Fire Youth SC U13 AD | Chicago Fire Youth SC U14 AD | Chicago Fire Youth SC U15 AD | Chicago Fire Youth SC U16 AD,24,84.2,da6b8ec9-bf46-44aa-957f-0a4810a97423,Chicago Empire South 2013 Gold Girls,u13,
1306,Chicago Fire Youth SC,Chicago Fire Youth SC U13 AD | Chicago Fire Youth SC U14 AD | Chicago Fire Youth SC U15 AD | Chicago Fire Youth SC U16 AD,24,84.2,c98d68b6-b393-4319-a528-52eb012d1884,Chicago Empire South 2014 Gold Girls,u12,
