team_id_master,team_name,club_name,alias,division,age_group,gender,state_code,state,birth_year,is_deprecated,provider_id,modular11_alias
7351b711-588d-41fa-bf6f-d4a1f2e7ce29,Almaden FC U15 HD,Almaden FC,990_U15_HD,HD,u15,Male,CA,,,FALSE,b376e2a4-4b81-47be-b2aa-a06ba0616110,
3dd01f75-33ad-4200-8128-b155a9f9869a,Alum Rock FC 2011 yellow,Alum Rock Futbol Club,105614,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
cc220d51-8ad1-4183-9e1f-1d77dd061a3a,Alum Rock FC 2011 Blue,Alum Rock Futbol Club,389404,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
29b80a37-81e7-47ec-b345-137c619fa9e2,Revolution 11 Blue,American River FC,105533,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
c1dadda3-b30d-4e86-a3a8-4984af8ccd7d,Revolution 11 Red,American River FC,262567,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
4b5bd72a-5bbe-4f4a-b591-4683ceb2bb19,Amigos FC B14,Amigos FC,567257,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
fd691241-9017-4c35-9cd6-81d2af4aaf36,Anaheim FC B2011 Black Rodriguez,Anaheim Futbol Club,481458,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
7c570538-edb1-4218-b41d-c8ee91339da3,AC United 2011 Mavericks,Anderson Youth Soccer League,612584,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
797ceee3-cd74-4c54-9771-4335da1a0d35,Antelope Hydras,Antelope AYSO,520490,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
cdcd2f39-a4f9-483f-9ed4-e4076ca5bbd7,B2011 Vela,Antelope Valley Futbol Club,363818,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
